,state,population,avg_income,ffrest_percapita
0,Alabama,4887871,48193,6.3
1,Alaska,737438,74058,3.1
2,Arizona,7171646,56508,4.6
3,Arkansas,3013825,45916,4.7
4,California,39557045,71785,3.6
5,Colorado,5695564,69113,4.0
6,Connecticut,3572665,74428,2.5
7,Delaware,967171,64085,4.1
8,Florida,21299325,52582,3.3
9,Georgia,10519475,56117,4.9
10,Hawaii,1420491,77936,3.2
11,Idaho,1754208,52280,3.8
12,Illinois,12741080,63044,4.5
13,Indiana,6691878,54134,5.0
14,Iowa,3156145,58706,4.7
15,Kansas,2911505,56382,4.7
16,Kentucky,4468402,48332,4.8
17,Louisiana,4659978,46283,4.4
18,Maine,1338404,55980,3.1
19,Maryland,6042718,80711,3.9
20,Massachusetts,6902149,77385,3.1
21,Michigan,9995915,54840,4.0
22,Minnesota,5611179,68364,3.7
23,Mississippi,2986530,43595,2.4
24,Missouri,6126452,53506,4.9
25,Montana,1062305,53262,3.8
26,Nebraska,1929268,59913,5.4
27,Nevada,3034392,57932,4.7
28,New Hampshire,1356458,73638,3.2
29,New Jersey,8908520,80106,2.1
30,New Mexico,2095428,47086,4.3
31,New York,19542209,64783,2.1
32,North Carolina,10383620,52797,4.5
33,North Dakota,760077,62400,3.6
34,Ohio,11689442,54077,4.7
35,Oklahoma,3943079,50051,5.3
36,Oregon,4190713,60123,3.6
37,Pennsylvania,12807060,59165,3.2
38,Rhode Island,1057315,62923,2.6
39,South Carolina,5084127,50675,4.9
40,South Dakota,882235,56871,4.3
41,Tennessee,6770010,51319,5.2
42,Texas,28701845,59195,4.3
43,Utah,3161105,68395,3.6
44,Vermont,626299,58271,1.9
45,Virginia,8517685,71518,4.3
46,Washington,7535591,70942,3.2
47,West Virginia,1805832,43238,5.3
48,Wisconsin,5813568,59300,4.0
49,Wyoming,577737,61279,4.1
